group,name,_wandb.runtime,interpolate_perplexity,epoch,interpolate_teacher_forcing_acc,extrapolate_teacher_forcing_acc,_step,train_teacher_forcing_acc,extrapolate_loss,extrapolate_perplexity,trainer/global_step,_timestamp,interpolate_loss,train_loss,_runtime,d_model,n_layers_enc,n_layers_dec,symbol_retrieval,encoder_kwargs,decoder_kwargs,task,_wandb
enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,giddy-bee-46,33064.0,2.416557788848877,99.0,0.7274370789527893,0.7274370789527893,119.0,0.9352983832359314,0.8815690279006958,2.416557788848877,390599.0,1723900058.607363,0.8815690279006958,0.16195939481258392,33064.80694794655,128,4,4,position_relative,"{'dff': 256, 'norm_first': False, 'causal': False, 'dropout_rate': 0.1, 'activation': 'relu', 'n_heads_ra': 4, 'ra_kwargs': {'use_relative_positional_symbols': True}, 'ra_type': 'relational_attention', 'n_heads_sa': 4}","{'norm_first': False, 'n_heads_cross': 8, 'dropout_rate': 0.1, 'ra_type': 'relational_attention', 'causal': True, 'n_heads_sa': 8, 'activation': 'relu', 'n_heads_ra': 0, 'dff': 256, 'ra_kwargs': {'use_relative_positional_symbols': True}}",algebra__linear_1,
enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,crimson-jazz-45,32993.0,2.9262850284576416,99.0,0.7031255960464478,0.7031255960464478,119.0,0.9086860418319702,1.0725640058517456,2.9262850284576416,390599.0,1723899772.3994625,1.0725640058517456,0.22275866568088531,32993.69127750397,128,4,4,position_relative,"{'n_heads_ra': 4, 'ra_kwargs': {'use_relative_positional_symbols': True}, 'norm_first': False, 'activation': 'relu', 'n_heads_sa': 4, 'ra_type': 'relational_attention', 'dropout_rate': 0.1, 'dff': 256, 'causal': False}","{'ra_kwargs': {'use_relative_positional_symbols': True}, 'causal': True, 'norm_first': False, 'n_heads_ra': 0, 'dff': 256, 'n_heads_cross': 8, 'activation': 'relu', 'n_heads_sa': 8, 'dropout_rate': 0.1, 'ra_type': 'relational_attention'}",algebra__linear_1,
enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,devoted-glitter-44,,3.8681910037994385,92.0,0.6675064563751221,0.6675064563751221,110.0,0.934653341770172,1.351036548614502,3.8681910037994385,363257.0,1723949808.0631824,1.351036548614502,0.1603034734725952,86355.56335544586,128,4,4,position_relative,"{'causal': False, 'ra_type': 'relational_attention', 'n_heads_ra': 4, 'dropout_rate': 0.1, 'dff': 256, 'norm_first': False, 'ra_kwargs': {'use_relative_positional_symbols': True}, 'activation': 'relu', 'n_heads_sa': 4}","{'ra_type': 'relational_attention', 'norm_first': False, 'dropout_rate': 0.1, 'n_heads_ra': 0, 'ra_kwargs': {'use_relative_positional_symbols': True}, 'dff': 256, 'activation': 'relu', 'causal': True, 'n_heads_sa': 8, 'n_heads_cross': 8}",algebra__linear_1,
enc_sa=4; enc_ra=4; dec_sa=4; dec_ra=4; d_cross=8; d=128; el=4; dl=4,wise-microwave-43,34656.0,1.6120936870574951,99.0,0.8223361968994141,0.8223361968994141,119.0,0.9373340606689452,0.4772360026836395,1.6120936870574951,390599.0,1723867154.5349405,0.4772360026836395,0.1520083248615265,34656.4580013752,128,4,4,position_relative,"{'ra_kwargs': {'use_relative_positional_symbols': True}, 'activation': 'relu', 'ra_type': 'relational_attention', 'dff': 256, 'n_heads_ra': 4, 'n_heads_sa': 4, 'dropout_rate': 0.1, 'causal': False, 'norm_first': False}","{'norm_first': False, 'activation': 'relu', 'n_heads_cross': 8, 'dff': 256, 'causal': True, 'dropout_rate': 0.1, 'n_heads_sa': 4, 'n_heads_ra': 4, 'ra_kwargs': {'use_relative_positional_symbols': True}, 'ra_type': 'relational_attention'}",algebra__linear_1,
enc_sa=4; enc_ra=4; dec_sa=4; dec_ra=4; d_cross=8; d=128; el=4; dl=4,flowing-jazz-42,34926.0,15.907886505126951,99.0,0.629565954208374,0.629565954208374,119.0,0.94086092710495,2.7629690170288086,15.907886505126951,390599.0,1723866977.9827924,2.7629690170288086,0.1430315375328064,34927.109248399734,128,4,4,position_relative,"{'ra_kwargs': {'use_relative_positional_symbols': True}, 'activation': 'relu', 'norm_first': False, 'dff': 256, 'causal': False, 'dropout_rate': 0.1, 'n_heads_ra': 4, 'n_heads_sa': 4, 'ra_type': 'relational_attention'}","{'n_heads_sa': 4, 'dff': 256, 'ra_kwargs': {'use_relative_positional_symbols': True}, 'causal': True, 'dropout_rate': 0.1, 'ra_type': 'relational_attention', 'norm_first': False, 'activation': 'relu', 'n_heads_ra': 4, 'n_heads_cross': 8}",algebra__linear_1,
enc_sa=4; enc_ra=4; dec_sa=4; dec_ra=4; d_cross=8; d=128; el=4; dl=4,dauntless-night-41,34910.0,1.4517598152160645,99.0,0.8466063737869263,0.8466063737869263,119.0,0.9337809085845948,0.3726051449775696,1.4517598152160645,390599.0,1723866761.983589,0.3726051449775696,0.1617574244737625,34910.970181941986,128,4,4,position_relative,"{'activation': 'relu', 'dropout_rate': 0.1, 'norm_first': False, 'ra_kwargs': {'use_relative_positional_symbols': True}, 'n_heads_ra': 4, 'dff': 256, 'ra_type': 'relational_attention', 'n_heads_sa': 4, 'causal': False}","{'activation': 'relu', 'norm_first': False, 'dropout_rate': 0.1, 'dff': 256, 'n_heads_ra': 4, 'ra_kwargs': {'use_relative_positional_symbols': True}, 'causal': True, 'ra_type': 'relational_attention', 'n_heads_cross': 8, 'n_heads_sa': 4}",algebra__linear_1,
enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=3; dl=3,divine-feather-40,24928.0,10.840340614318848,99.0,0.6352218389511108,0.6352218389511108,119.0,0.9053964018821716,2.37908673286438,10.840340614318848,390599.0,1723832034.6686256,2.37908673286438,0.23477093875408173,24928.48888850212,128,3,3,position_relative,"{'norm_first': False, 'n_heads_sa': 4, 'dropout_rate': 0.1, 'activation': 'relu', 'dff': 256, 'ra_type': 'relational_attention', 'ra_kwargs': {'use_relative_positional_symbols': True}, 'n_heads_ra': 4, 'causal': False}","{'n_heads_ra': 0, 'n_heads_cross': 8, 'ra_kwargs': {'use_relative_positional_symbols': True}, 'n_heads_sa': 8, 'dropout_rate': 0.1, 'dff': 256, 'norm_first': False, 'ra_type': 'relational_attention', 'activation': 'relu', 'causal': True}",algebra__linear_1,
enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=3; dl=3,copper-music-39,24722.0,9.864484786987305,99.0,0.4474629759788513,0.4474629759788513,119.0,0.8459342122077942,2.2861897945404053,9.864484786987305,390599.0,1723831821.5311005,2.2861897945404053,0.3800637423992157,24722.203828573227,128,3,3,position_relative,"{'ra_type': 'relational_attention', 'causal': False, 'activation': 'relu', 'ra_kwargs': {'use_relative_positional_symbols': True}, 'norm_first': False, 'dff': 256, 'dropout_rate': 0.1, 'n_heads_sa': 4, 'n_heads_ra': 4}","{'causal': True, 'n_heads_cross': 8, 'activation': 'relu', 'ra_kwargs': {'use_relative_positional_symbols': True}, 'ra_type': 'relational_attention', 'dff': 256, 'dropout_rate': 0.1, 'norm_first': False, 'n_heads_ra': 0, 'n_heads_sa': 8}",algebra__linear_1,
enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=3; dl=3,dauntless-salad-38,24932.0,1.7507225275039673,99.0,0.7917619943618774,0.7917619943618774,119.0,0.9166426062583924,0.5597262978553772,1.7507225275039673,390599.0,1723831835.543027,0.5597262978553772,0.20577704906463623,24932.557325839996,128,3,3,position_relative,"{'norm_first': False, 'ra_kwargs': {'use_relative_positional_symbols': True}, 'n_heads_sa': 4, 'ra_type': 'relational_attention', 'dff': 256, 'causal': False, 'dropout_rate': 0.1, 'activation': 'relu', 'n_heads_ra': 4}","{'ra_type': 'relational_attention', 'n_heads_cross': 8, 'dff': 256, 'causal': True, 'dropout_rate': 0.1, 'ra_kwargs': {'use_relative_positional_symbols': True}, 'activation': 'relu', 'n_heads_sa': 8, 'norm_first': False, 'n_heads_ra': 0}",algebra__linear_1,
enc_sa=4; enc_ra=4; dec_sa=4; dec_ra=4; d_cross=8; d=128; el=3; dl=3,true-dust-37,26451.0,1.9518446922302248,99.0,0.7748398780822754,0.7748398780822754,119.0,0.916231632232666,0.6683592200279236,1.9518446922302248,390599.0,1723804239.789797,0.6683592200279236,0.20705901086330417,26452.156813144684,128,3,3,position_relative,"{'ra_type': 'relational_attention', 'ra_kwargs': {'use_relative_positional_symbols': True}, 'n_heads_sa': 4, 'norm_first': False, 'dff': 256, 'causal': False, 'activation': 'relu', 'dropout_rate': 0.1, 'n_heads_ra': 4}","{'ra_type': 'relational_attention', 'activation': 'relu', 'dropout_rate': 0.1, 'causal': True, 'n_heads_sa': 4, 'n_heads_cross': 8, 'dff': 256, 'ra_kwargs': {'use_relative_positional_symbols': True}, 'n_heads_ra': 4, 'norm_first': False}",algebra__linear_1,
