,_step,_timestamp,trainer/global_step,interpolate_perplexity,train_loss,interpolate_teacher_forcing_acc,extrapolate_teacher_forcing_acc,interpolate_loss,extrapolate_loss,extrapolate_perplexity,train_teacher_forcing_acc,epoch,_runtime,d_model,n_layers_enc,n_layers_dec,symbol_retrieval,group,name
0,0,1715688096.7784557,3905,,1.7356775999069214,,,,,,0.3811909854412079,0,282.926011800766,128,2,2,,"e_sa=8; e_rca=0; d_sa=8; d_rca=0; d_cross=8; d=128; rca_type=NA, symbol_type=NA; el=2; dl=2",dauntless-pyramid-82
1,1,1715688371.779809,7811,,1.6125333309173584,,,,,,0.4071006774902344,1,557.927365064621,128,2,2,,"e_sa=8; e_rca=0; d_sa=8; d_rca=0; d_cross=8; d=128; rca_type=NA, symbol_type=NA; el=2; dl=2",dauntless-pyramid-82
2,2,1715688646.7861922,11717,,1.5498863458633423,,,,,,0.4255236089229584,2,832.9337482452393,128,2,2,,"e_sa=8; e_rca=0; d_sa=8; d_rca=0; d_cross=8; d=128; rca_type=NA, symbol_type=NA; el=2; dl=2",dauntless-pyramid-82
3,3,1715688921.784012,15623,,1.4921358823776245,,,,,,0.44631293416023254,3,1107.931568145752,128,2,2,,"e_sa=8; e_rca=0; d_sa=8; d_rca=0; d_cross=8; d=128; rca_type=NA, symbol_type=NA; el=2; dl=2",dauntless-pyramid-82
4,4,1715689259.68995,19529,4.513335704803467,,0.45059913396835327,0.45059913396835327,1.5068172216415405,1.5068172216415405,4.513335704803467,,4,1445.837506055832,128,2,2,,"e_sa=8; e_rca=0; d_sa=8; d_rca=0; d_cross=8; d=128; rca_type=NA, symbol_type=NA; el=2; dl=2",dauntless-pyramid-82
5,5,1715689259.692864,19529,,1.4308048486709595,,,,,,0.4703352153301239,4,1445.8404200077057,128,2,2,,"e_sa=8; e_rca=0; d_sa=8; d_rca=0; d_cross=8; d=128; rca_type=NA, symbol_type=NA; el=2; dl=2",dauntless-pyramid-82
6,6,1715689534.9036033,23435,,1.3457801342010498,,,,,,0.504732072353363,5,1721.0511593818665,128,2,2,,"e_sa=8; e_rca=0; d_sa=8; d_rca=0; d_cross=8; d=128; rca_type=NA, symbol_type=NA; el=2; dl=2",dauntless-pyramid-82
7,7,1715689810.129323,27341,,1.2312711477279663,,,,,,0.5483438372612,6,1996.2768790721893,128,2,2,,"e_sa=8; e_rca=0; d_sa=8; d_rca=0; d_cross=8; d=128; rca_type=NA, symbol_type=NA; el=2; dl=2",dauntless-pyramid-82
8,8,1715690085.2946234,31247,,1.113167405128479,,,,,,0.5928905010223389,7,2271.442179441452,128,2,2,,"e_sa=8; e_rca=0; d_sa=8; d_rca=0; d_cross=8; d=128; rca_type=NA, symbol_type=NA; el=2; dl=2",dauntless-pyramid-82
9,9,1715690360.526914,35153,,1.0230259895324707,,,,,,0.6265094876289368,8,2546.674469947815,128,2,2,,"e_sa=8; e_rca=0; d_sa=8; d_rca=0; d_cross=8; d=128; rca_type=NA, symbol_type=NA; el=2; dl=2",dauntless-pyramid-82
