,trainer/global_step,train_teacher_forcing_acc,_step,train_loss,_runtime,epoch,_timestamp,interpolate_loss,interpolate_teacher_forcing_acc,extrapolate_loss,extrapolate_teacher_forcing_acc,interpolate_perplexity,extrapolate_perplexity,d_model,n_layers_enc,n_layers_dec,symbol_retrieval,group,name
0,3905.0,0.6448217630386353,0.0,1.0087778568267822,936.0790755748749,0.0,1715223894.3575065,,,,,,,128,2,2,pos_relative,"e_sa=4; e_rca=4; d_sa=8; d_rca=0; d_cross=8; d=128; rca_type=disentangled_v2, symbol_type=pos_relative; el=2; dl=2",smart-water-79
1,7811.0,0.8369308114051819,1.0,0.46954619884490967,1864.5217061042786,1.0,1715224822.800137,,,,,,,128,2,2,pos_relative,"e_sa=4; e_rca=4; d_sa=8; d_rca=0; d_cross=8; d=128; rca_type=disentangled_v2, symbol_type=pos_relative; el=2; dl=2",smart-water-79
2,11717.0,0.8910455703735352,2.0,0.31970444321632385,2793.143146753311,2.0,1715225751.4215777,,,,,,,128,2,2,pos_relative,"e_sa=4; e_rca=4; d_sa=8; d_rca=0; d_cross=8; d=128; rca_type=disentangled_v2, symbol_type=pos_relative; el=2; dl=2",smart-water-79
3,15623.0,0.9228047728538513,3.0,0.23134639859199524,3721.3943791389465,3.0,1715226679.67281,,,,,,,128,2,2,pos_relative,"e_sa=4; e_rca=4; d_sa=8; d_rca=0; d_cross=8; d=128; rca_type=disentangled_v2, symbol_type=pos_relative; el=2; dl=2",smart-water-79
4,19529.0,,4.0,,4877.39093708992,4.0,1715227835.669368,0.06838850677013397,0.9784788489341736,0.06838850677013397,0.9784788489341736,1.0708036422729492,1.0708036422729492,128,2,2,pos_relative,"e_sa=4; e_rca=4; d_sa=8; d_rca=0; d_cross=8; d=128; rca_type=disentangled_v2, symbol_type=pos_relative; el=2; dl=2",smart-water-79
5,19529.0,0.9428426623344421,5.0,0.17416834831237793,4877.394097805023,4.0,1715227835.6725287,,,,,,,128,2,2,pos_relative,"e_sa=4; e_rca=4; d_sa=8; d_rca=0; d_cross=8; d=128; rca_type=disentangled_v2, symbol_type=pos_relative; el=2; dl=2",smart-water-79
6,23435.0,0.954582154750824,6.0,0.13983167707920074,5806.176304578781,5.0,1715228764.4547355,,,,,,,128,2,2,pos_relative,"e_sa=4; e_rca=4; d_sa=8; d_rca=0; d_cross=8; d=128; rca_type=disentangled_v2, symbol_type=pos_relative; el=2; dl=2",smart-water-79
7,27341.0,0.9626965522766113,7.0,0.11583222448825836,6734.798029661179,6.0,1715229693.0764606,,,,,,,128,2,2,pos_relative,"e_sa=4; e_rca=4; d_sa=8; d_rca=0; d_cross=8; d=128; rca_type=disentangled_v2, symbol_type=pos_relative; el=2; dl=2",smart-water-79
8,31247.0,0.9683145880699158,8.0,0.0990634560585022,7663.166484117508,7.0,1715230621.444915,,,,,,,128,2,2,pos_relative,"e_sa=4; e_rca=4; d_sa=8; d_rca=0; d_cross=8; d=128; rca_type=disentangled_v2, symbol_type=pos_relative; el=2; dl=2",smart-water-79
9,35153.0,0.9724867343902588,9.0,0.08662007004022598,8591.564306974411,8.0,1715231549.842738,,,,,,,128,2,2,pos_relative,"e_sa=4; e_rca=4; d_sa=8; d_rca=0; d_cross=8; d=128; rca_type=disentangled_v2, symbol_type=pos_relative; el=2; dl=2",smart-water-79
10,39059.0,,10.0,,9747.62294125557,9.0,1715232705.9013722,0.019660329446196556,0.9941121935844421,0.019660329446196556,0.9941121935844421,1.0198602676391602,1.0198602676391602,128,2,2,pos_relative,"e_sa=4; e_rca=4; d_sa=8; d_rca=0; d_cross=8; d=128; rca_type=disentangled_v2, symbol_type=pos_relative; el=2; dl=2",smart-water-79
11,39059.0,0.9757595062255859,11.0,0.07678832113742828,9747.62590622902,9.0,1715232705.9043372,,,,,,,128,2,2,pos_relative,"e_sa=4; e_rca=4; d_sa=8; d_rca=0; d_cross=8; d=128; rca_type=disentangled_v2, symbol_type=pos_relative; el=2; dl=2",smart-water-79
12,42965.0,0.9779704809188843,12.0,0.07007933408021927,10676.09454870224,10.0,1715233634.3729796,,,,,,,128,2,2,pos_relative,"e_sa=4; e_rca=4; d_sa=8; d_rca=0; d_cross=8; d=128; rca_type=disentangled_v2, symbol_type=pos_relative; el=2; dl=2",smart-water-79
13,46871.0,0.9799919724464417,13.0,0.06387324631214142,11604.305871486664,11.0,1715234562.5843024,,,,,,,128,2,2,pos_relative,"e_sa=4; e_rca=4; d_sa=8; d_rca=0; d_cross=8; d=128; rca_type=disentangled_v2, symbol_type=pos_relative; el=2; dl=2",smart-water-79
14,50777.0,0.9816485047340393,14.0,0.05858442559838295,12532.746721029282,12.0,1715235491.025152,,,,,,,128,2,2,pos_relative,"e_sa=4; e_rca=4; d_sa=8; d_rca=0; d_cross=8; d=128; rca_type=disentangled_v2, symbol_type=pos_relative; el=2; dl=2",smart-water-79
15,54683.0,0.9830144047737122,15.0,0.054435644298791885,13461.055612564087,13.0,1715236419.3340435,,,,,,,128,2,2,pos_relative,"e_sa=4; e_rca=4; d_sa=8; d_rca=0; d_cross=8; d=128; rca_type=disentangled_v2, symbol_type=pos_relative; el=2; dl=2",smart-water-79
16,58589.0,,16.0,,14617.215740203857,14.0,1715237575.4941711,0.009876829572021961,0.9971794486045837,0.009876829572021961,0.9971794486045837,1.0099279880523682,1.0099279880523682,128,2,2,pos_relative,"e_sa=4; e_rca=4; d_sa=8; d_rca=0; d_cross=8; d=128; rca_type=disentangled_v2, symbol_type=pos_relative; el=2; dl=2",smart-water-79
17,58589.0,0.9842785596847534,17.0,0.05050979182124138,14617.218693733215,14.0,1715237575.4971247,,,,,,,128,2,2,pos_relative,"e_sa=4; e_rca=4; d_sa=8; d_rca=0; d_cross=8; d=128; rca_type=disentangled_v2, symbol_type=pos_relative; el=2; dl=2",smart-water-79
18,62495.0,0.9853103160858154,18.0,0.04731452837586403,15545.58290553093,15.0,1715238503.8613365,,,,,,,128,2,2,pos_relative,"e_sa=4; e_rca=4; d_sa=8; d_rca=0; d_cross=8; d=128; rca_type=disentangled_v2, symbol_type=pos_relative; el=2; dl=2",smart-water-79
19,66401.0,0.9860619902610779,19.0,0.045033834874629974,16473.91809439659,16.0,1715239432.1965253,,,,,,,128,2,2,pos_relative,"e_sa=4; e_rca=4; d_sa=8; d_rca=0; d_cross=8; d=128; rca_type=disentangled_v2, symbol_type=pos_relative; el=2; dl=2",smart-water-79
