,extrapolate_teacher_forcing_acc,epoch,extrapolate_loss,interpolate_loss,train_teacher_forcing_acc,_step,_timestamp,train_loss,trainer/global_step,extrapolate_perplexity,_runtime,interpolate_teacher_forcing_acc,interpolate_perplexity,d_model,n_layers_enc,n_layers_dec,symbol_retrieval,group,name
0,,0,,,0.6693601012229919,0,1715685685.9899557,0.9729398488998413,3905,,107.69767260551453,,,128,2,2,,"e_sa=8; e_rca=0; d_sa=8; d_rca=0; d_cross=8; d=128; rca_type=NA, symbol_type=NA; el=2; dl=2",daily-pine-82
1,,1,,,0.7003130316734314,1,1715685787.8713102,0.8753690123558044,7811,,209.57902717590332,,,128,2,2,,"e_sa=8; e_rca=0; d_sa=8; d_rca=0; d_cross=8; d=128; rca_type=NA, symbol_type=NA; el=2; dl=2",daily-pine-82
2,,2,,,0.7072607278823853,2,1715685889.7620819,0.8565147519111633,11717,,311.46979880332947,,,128,2,2,,"e_sa=8; e_rca=0; d_sa=8; d_rca=0; d_cross=8; d=128; rca_type=NA, symbol_type=NA; el=2; dl=2",daily-pine-82
3,,3,,,0.7112141251564026,3,1715685991.63915,0.8441890478134155,15623,,413.3468668460846,,,128,2,2,,"e_sa=8; e_rca=0; d_sa=8; d_rca=0; d_cross=8; d=128; rca_type=NA, symbol_type=NA; el=2; dl=2",daily-pine-82
4,0.6608197093009949,4,0.9831047654151917,0.9831047654151917,,4,1715686114.8303032,,19529,2.672941207885742,536.5380201339722,0.6608197093009949,2.672941207885742,128,2,2,,"e_sa=8; e_rca=0; d_sa=8; d_rca=0; d_cross=8; d=128; rca_type=NA, symbol_type=NA; el=2; dl=2",daily-pine-82
5,,4,,,0.7139895558357239,5,1715686114.8325014,0.8361422419548035,19529,,536.5402183532715,,,128,2,2,,"e_sa=8; e_rca=0; d_sa=8; d_rca=0; d_cross=8; d=128; rca_type=NA, symbol_type=NA; el=2; dl=2",daily-pine-82
6,,5,,,0.7158907651901245,6,1715686216.7443023,0.8301912546157837,23435,,638.4520192146301,,,128,2,2,,"e_sa=8; e_rca=0; d_sa=8; d_rca=0; d_cross=8; d=128; rca_type=NA, symbol_type=NA; el=2; dl=2",daily-pine-82
7,,6,,,0.7174815535545349,7,1715686318.6497824,0.8253490924835205,27341,,740.3574993610382,,,128,2,2,,"e_sa=8; e_rca=0; d_sa=8; d_rca=0; d_cross=8; d=128; rca_type=NA, symbol_type=NA; el=2; dl=2",daily-pine-82
8,,7,,,0.7190287709236145,8,1715686420.5487397,0.8207998275756836,31247,,842.2564566135406,,,128,2,2,,"e_sa=8; e_rca=0; d_sa=8; d_rca=0; d_cross=8; d=128; rca_type=NA, symbol_type=NA; el=2; dl=2",daily-pine-82
9,,8,,,0.7204588055610657,9,1715686522.4438503,0.8165094256401062,35153,,944.1515672206879,,,128,2,2,,"e_sa=8; e_rca=0; d_sa=8; d_rca=0; d_cross=8; d=128; rca_type=NA, symbol_type=NA; el=2; dl=2",daily-pine-82
