,trainer/global_step,train_teacher_forcing_acc,_step,train_loss,_runtime,epoch,_timestamp,interpolate_loss,interpolate_teacher_forcing_acc,extrapolate_loss,extrapolate_teacher_forcing_acc,interpolate_perplexity,extrapolate_perplexity,in_block_size,d_model,decoder_kwargs,symbol_retrieval_kwargs,out_dim,loss_ignore_idx,n_layers_enc,input_spec,abstractor_kwargs,symbol_retrieval,encoder_kwargs,group,output_spec,out_block_size,n_layers_dec,name
0,3905,0.552901029586792,0,1.375449776649475,254.31877279281616,0,1722846321.8244488,,,,,,,161,144,,,85,0,4,,,,,enc_sa=8; enc_ra=0; dec_sa=8; dec_ra=0; d_cross=8; d=144; el=4; dl=4,,31,4,worthy-totem-22
1,7811,0.5585455298423767,1,1.3403741121292114,503.51138639450073,1,1722846571.0170624,,,,,,,161,144,,,85,0,4,,,,,enc_sa=8; enc_ra=0; dec_sa=8; dec_ra=0; d_cross=8; d=144; el=4; dl=4,,31,4,worthy-totem-22
2,11717,0.5629888772964478,2,1.3227999210357666,752.6797530651093,2,1722846820.185429,,,,,,,161,144,,,85,0,4,,,,,enc_sa=8; enc_ra=0; dec_sa=8; dec_ra=0; d_cross=8; d=144; el=4; dl=4,,31,4,worthy-totem-22
3,15623,0.5666740536689758,3,1.3074862957000732,1001.8349266052246,3,1722847069.3406026,,,,,,,161,144,,,85,0,4,,,,,enc_sa=8; enc_ra=0; dec_sa=8; dec_ra=0; d_cross=8; d=144; el=4; dl=4,,31,4,worthy-totem-22
4,19529,,4,,1299.234918832779,4,1722847366.7405949,1.5404551029205322,0.4828365445137024,1.5404551029205322,0.4828365445137024,4.6671881675720215,4.6671881675720215,161,144,,,85,0,4,,,,,enc_sa=8; enc_ra=0; dec_sa=8; dec_ra=0; d_cross=8; d=144; el=4; dl=4,,31,4,worthy-totem-22
5,19529,0.5690891742706299,5,1.2966296672821045,1299.236654996872,4,1722847366.742331,,,,,,,161,144,,,85,0,4,,,,,enc_sa=8; enc_ra=0; dec_sa=8; dec_ra=0; d_cross=8; d=144; el=4; dl=4,,31,4,worthy-totem-22
6,23435,0.5707588791847229,6,1.2887834310531616,1548.4659969806671,5,1722847615.971673,,,,,,,161,144,,,85,0,4,,,,,enc_sa=8; enc_ra=0; dec_sa=8; dec_ra=0; d_cross=8; d=144; el=4; dl=4,,31,4,worthy-totem-22
7,27341,0.5718746185302734,7,1.2825980186462402,1797.6917388439178,6,1722847865.1974149,,,,,,,161,144,,,85,0,4,,,,,enc_sa=8; enc_ra=0; dec_sa=8; dec_ra=0; d_cross=8; d=144; el=4; dl=4,,31,4,worthy-totem-22
8,31247,0.573581337928772,8,1.2744861841201782,2046.9441015720367,7,1722848114.4497776,,,,,,,161,144,,,85,0,4,,,,,enc_sa=8; enc_ra=0; dec_sa=8; dec_ra=0; d_cross=8; d=144; el=4; dl=4,,31,4,worthy-totem-22
9,35153,0.5747233033180237,9,1.2687779664993286,2296.215181350708,8,1722848363.7208574,,,,,,,161,144,,,85,0,4,,,,,enc_sa=8; enc_ra=0; dec_sa=8; dec_ra=0; d_cross=8; d=144; el=4; dl=4,,31,4,worthy-totem-22
10,39059,,10,,2592.8803062438965,9,1722848660.3859823,1.5306724309921265,0.4855612814426422,1.5306724309921265,0.4855612814426422,4.62181282043457,4.62181282043457,161,144,,,85,0,4,,,,,enc_sa=8; enc_ra=0; dec_sa=8; dec_ra=0; d_cross=8; d=144; el=4; dl=4,,31,4,worthy-totem-22
11,39059,0.5757128000259399,11,1.2641953229904175,2592.8819873332977,9,1722848660.3876634,,,,,,,161,144,,,85,0,4,,,,,enc_sa=8; enc_ra=0; dec_sa=8; dec_ra=0; d_cross=8; d=144; el=4; dl=4,,31,4,worthy-totem-22
12,42965,0.5761057734489441,12,1.2620599269866943,2841.454695224762,10,1722848908.9603713,,,,,,,161,144,,,85,0,4,,,,,enc_sa=8; enc_ra=0; dec_sa=8; dec_ra=0; d_cross=8; d=144; el=4; dl=4,,31,4,worthy-totem-22
13,46871,0.5770350098609924,13,1.2575857639312744,3089.996647119522,11,1722849157.5023232,,,,,,,161,144,,,85,0,4,,,,,enc_sa=8; enc_ra=0; dec_sa=8; dec_ra=0; d_cross=8; d=144; el=4; dl=4,,31,4,worthy-totem-22
14,50777,0.5780432224273682,14,1.2523627281188965,3338.504829645157,12,1722849406.0105057,,,,,,,161,144,,,85,0,4,,,,,enc_sa=8; enc_ra=0; dec_sa=8; dec_ra=0; d_cross=8; d=144; el=4; dl=4,,31,4,worthy-totem-22
15,54683,0.5802211761474609,15,1.2391093969345093,3586.9990100860596,13,1722849654.504686,,,,,,,161,144,,,85,0,4,,,,,enc_sa=8; enc_ra=0; dec_sa=8; dec_ra=0; d_cross=8; d=144; el=4; dl=4,,31,4,worthy-totem-22
16,58589,,16,,3883.5925981998444,14,1722849951.0982742,1.4814460277557373,0.4894738793373108,1.4814460277557373,0.4894738793373108,4.39991569519043,4.39991569519043,161,144,,,85,0,4,,,,,enc_sa=8; enc_ra=0; dec_sa=8; dec_ra=0; d_cross=8; d=144; el=4; dl=4,,31,4,worthy-totem-22
17,58589,0.5875781178474426,17,1.205397367477417,3883.594217300415,14,1722849951.0998933,,,,,,,161,144,,,85,0,4,,,,,enc_sa=8; enc_ra=0; dec_sa=8; dec_ra=0; d_cross=8; d=144; el=4; dl=4,,31,4,worthy-totem-22
18,62495,0.5942491292953491,18,1.1840099096298218,4132.109777927399,15,1722850199.615454,,,,,,,161,144,,,85,0,4,,,,,enc_sa=8; enc_ra=0; dec_sa=8; dec_ra=0; d_cross=8; d=144; el=4; dl=4,,31,4,worthy-totem-22
19,66401,0.5985516905784607,19,1.1718851327896118,4380.639148712158,16,1722850448.1448247,,,,,,,161,144,,,85,0,4,,,,,enc_sa=8; enc_ra=0; dec_sa=8; dec_ra=0; d_cross=8; d=144; el=4; dl=4,,31,4,worthy-totem-22
20,70307,0.6035701036453247,20,1.155788540840149,4629.186165809631,17,1722850696.6918418,,,,,,,161,144,,,85,0,4,,,,,enc_sa=8; enc_ra=0; dec_sa=8; dec_ra=0; d_cross=8; d=144; el=4; dl=4,,31,4,worthy-totem-22
21,74213,0.6069429516792297,21,1.1444001197814941,4877.7048234939575,18,1722850945.2104995,,,,,,,161,144,,,85,0,4,,,,,enc_sa=8; enc_ra=0; dec_sa=8; dec_ra=0; d_cross=8; d=144; el=4; dl=4,,31,4,worthy-totem-22
22,78119,,22,,5174.232001066208,19,1722851241.737677,1.4301753044128418,0.500356912612915,1.4301753044128418,0.500356912612915,4.180027961730957,4.180027961730957,161,144,,,85,0,4,,,,,enc_sa=8; enc_ra=0; dec_sa=8; dec_ra=0; d_cross=8; d=144; el=4; dl=4,,31,4,worthy-totem-22
23,78119,0.6102359294891357,23,1.1333423852920532,5174.233626842499,19,1722851241.7393029,,,,,,,161,144,,,85,0,4,,,,,enc_sa=8; enc_ra=0; dec_sa=8; dec_ra=0; d_cross=8; d=144; el=4; dl=4,,31,4,worthy-totem-22
24,82025,0.612570583820343,24,1.124741554260254,5422.707918643951,20,1722851490.2135947,,,,,,,161,144,,,85,0,4,,,,,enc_sa=8; enc_ra=0; dec_sa=8; dec_ra=0; d_cross=8; d=144; el=4; dl=4,,31,4,worthy-totem-22
25,85931,0.6151692271232605,25,1.1160509586334229,5671.178503751755,21,1722851738.6841798,,,,,,,161,144,,,85,0,4,,,,,enc_sa=8; enc_ra=0; dec_sa=8; dec_ra=0; d_cross=8; d=144; el=4; dl=4,,31,4,worthy-totem-22
26,89837,0.6174440979957581,26,1.1084707975387573,5919.706099033356,22,1722851987.211775,,,,,,,161,144,,,85,0,4,,,,,enc_sa=8; enc_ra=0; dec_sa=8; dec_ra=0; d_cross=8; d=144; el=4; dl=4,,31,4,worthy-totem-22
27,93743,0.6201107501983643,27,1.0987392663955688,6168.231221437454,23,1722852235.7368975,,,,,,,161,144,,,85,0,4,,,,,enc_sa=8; enc_ra=0; dec_sa=8; dec_ra=0; d_cross=8; d=144; el=4; dl=4,,31,4,worthy-totem-22
28,97649,,28,,6464.808710336685,24,1722852532.3143864,1.4101632833480835,0.505286693572998,1.4101632833480835,0.505286693572998,4.097239017486572,4.097239017486572,161,144,,,85,0,4,,,,,enc_sa=8; enc_ra=0; dec_sa=8; dec_ra=0; d_cross=8; d=144; el=4; dl=4,,31,4,worthy-totem-22
29,97649,0.6226863861083984,29,1.0897390842437744,6464.810336589813,24,1722852532.3160126,,,,,,,161,144,,,85,0,4,,,,,enc_sa=8; enc_ra=0; dec_sa=8; dec_ra=0; d_cross=8; d=144; el=4; dl=4,,31,4,worthy-totem-22
30,101555,0.625199019908905,30,1.0813835859298706,6713.645838022232,25,1722852781.151514,,,,,,,161,144,,,85,0,4,,,,,enc_sa=8; enc_ra=0; dec_sa=8; dec_ra=0; d_cross=8; d=144; el=4; dl=4,,31,4,worthy-totem-22
31,105461,0.6280161738395691,31,1.0710465908050537,6962.609692335129,26,1722853030.1153684,,,,,,,161,144,,,85,0,4,,,,,enc_sa=8; enc_ra=0; dec_sa=8; dec_ra=0; d_cross=8; d=144; el=4; dl=4,,31,4,worthy-totem-22
32,109367,0.6303877830505371,32,1.0624184608459473,7211.857147693634,27,1722853279.3628237,,,,,,,161,144,,,85,0,4,,,,,enc_sa=8; enc_ra=0; dec_sa=8; dec_ra=0; d_cross=8; d=144; el=4; dl=4,,31,4,worthy-totem-22
33,113273,0.6324853301048279,33,1.0551117658615112,7460.390966176987,28,1722853527.8966422,,,,,,,161,144,,,85,0,4,,,,,enc_sa=8; enc_ra=0; dec_sa=8; dec_ra=0; d_cross=8; d=144; el=4; dl=4,,31,4,worthy-totem-22
34,117179,,34,,7756.967685699463,29,1722853824.4733617,1.407908320426941,0.5072046518325806,1.407908320426941,0.5072046518325806,4.088083267211914,4.088083267211914,161,144,,,85,0,4,,,,,enc_sa=8; enc_ra=0; dec_sa=8; dec_ra=0; d_cross=8; d=144; el=4; dl=4,,31,4,worthy-totem-22
35,117179,0.6348294019699097,35,1.046230435371399,7756.969329833984,29,1722853824.4750059,,,,,,,161,144,,,85,0,4,,,,,enc_sa=8; enc_ra=0; dec_sa=8; dec_ra=0; d_cross=8; d=144; el=4; dl=4,,31,4,worthy-totem-22
36,121085,0.636763870716095,36,1.039687991142273,8005.493504285812,30,1722854072.9991803,,,,,,,161,144,,,85,0,4,,,,,enc_sa=8; enc_ra=0; dec_sa=8; dec_ra=0; d_cross=8; d=144; el=4; dl=4,,31,4,worthy-totem-22
