,trainer/global_step,extrapolate_teacher_forcing_acc,_runtime,extrapolate_loss,extrapolate_perplexity,interpolate_perplexity,_timestamp,interpolate_loss,interpolate_teacher_forcing_acc,train_teacher_forcing_acc,_step,epoch,train_loss,loss_ignore_idx,abstractor_kwargs,output_spec,out_block_size,decoder_kwargs,encoder_kwargs,d_model,n_layers_dec,in_block_size,n_layers_enc,input_spec,out_dim,group,symbol_retrieval,symbol_retrieval_kwargs,name
0,3905.0,,320.6195864677429,,,,1723891529.5935144,,,0.7399137020111084,0.0,0.0,0.7458418607711792,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,vocal-firefly-46
1,7811.0,,636.0779294967651,,,,1723891845.0518575,,,0.938432514667511,1.0,1.0,0.1875542849302292,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,vocal-firefly-46
2,11717.0,,951.2302768230438,,,,1723892160.2042048,,,0.9761132597923279,2.0,2.0,0.0771137923002243,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,vocal-firefly-46
3,15623.0,,1266.485630273819,,,,1723892475.4595582,,,0.9869626760482788,3.0,3.0,0.04366011545062065,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,vocal-firefly-46
4,19529.0,0.9986125826835632,1641.007499217987,0.004727278836071491,1.004739761352539,1.004739761352539,1723892849.9814272,0.004727278836071491,0.9986125826835632,,4.0,4.0,,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,vocal-firefly-46
5,19529.0,,1641.0093989372253,,,,1723892849.983327,,,0.9917086362838745,5.0,4.0,0.028465636074543,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,vocal-firefly-46
6,23435.0,,1956.3678925037384,,,,1723893165.3418205,,,0.9941331148147583,6.0,5.0,0.02056538499891758,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,vocal-firefly-46
7,27341.0,,2271.822177171707,,,,1723893480.7961051,,,0.9955814480781555,7.0,6.0,0.01567870005965233,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,vocal-firefly-46
8,31247.0,,2587.024282693863,,,,1723893795.9982107,,,0.9964953660964966,8.0,7.0,0.01263529434800148,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,vocal-firefly-46
9,35153.0,,2902.2515971660614,,,,1723894111.2255251,,,0.9971392154693604,9.0,8.0,0.010409324429929256,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,vocal-firefly-46
10,39059.0,0.9998581409454346,3276.7432658672333,0.00047990126768127084,1.000478982925415,1.000478982925415,1723894485.7171938,0.00047990126768127084,0.9998581409454346,,10.0,9.0,,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,vocal-firefly-46
11,39059.0,,3276.74507188797,,,,1723894485.7189999,,,0.9976334571838379,11.0,9.0,0.008673867210745811,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,vocal-firefly-46
12,42965.0,,3592.148868083954,,,,1723894801.122796,,,0.9980257749557495,12.0,10.0,0.007261638529598713,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,vocal-firefly-46
13,46871.0,,3907.5893354415894,,,,1723895116.5632634,,,0.9983435273170471,13.0,11.0,0.006144864484667778,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,vocal-firefly-46
14,50777.0,,4222.8261840343475,,,,1723895431.800112,,,0.9985292553901672,14.0,12.0,0.005492728669196367,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,vocal-firefly-46
15,54683.0,,4537.973245382309,,,,1723895746.9471734,,,0.9986761808395386,15.0,13.0,0.004976416006684303,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,vocal-firefly-46
16,58589.0,0.9999579191207886,4912.504900932312,0.0002127971820300445,1.0002139806747437,1.0002139806747437,1723896121.478829,0.0002127971820300445,0.9999579191207886,,16.0,14.0,,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,vocal-firefly-46
17,58589.0,,4912.506721496582,,,,1723896121.4806495,,,0.9988122582435608,17.0,14.0,0.004455896560102701,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,vocal-firefly-46
18,62495.0,,5227.793347835541,,,,1723896436.7672758,,,0.9989173412322998,18.0,15.0,0.004109365865588188,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,vocal-firefly-46
19,66401.0,,5543.179090023041,,,,1723896752.153018,,,0.9989941716194153,19.0,16.0,0.003830889007076621,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,vocal-firefly-46
20,70307.0,,5858.549435853958,,,,1723897067.5233638,,,0.9990682601928711,20.0,17.0,0.0035584322176873684,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,vocal-firefly-46
21,74213.0,,6173.794803857803,,,,1723897382.7687318,,,0.9991233944892883,21.0,18.0,0.003368236357346177,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,vocal-firefly-46
22,78119.0,0.9999756217002869,6548.328754425049,0.00013432746345642954,1.0001277923583984,1.0001277923583984,1723897757.3026824,0.00013432746345642954,0.9999756217002869,,22.0,19.0,,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,vocal-firefly-46
23,78119.0,,6548.330565690994,,,,1723897757.3044937,,,0.9991732835769653,23.0,19.0,0.0031929381657391787,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,vocal-firefly-46
24,82025.0,,6863.588060379028,,,,1723898072.5619884,,,0.9992404580116272,24.0,20.0,0.002957605989649892,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,vocal-firefly-46
25,85931.0,,7178.802169561386,,,,1723898387.7760975,,,0.9992768168449402,25.0,21.0,0.0027806453872472048,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,vocal-firefly-46
26,89837.0,,7493.995352268219,,,,1723898702.9692802,,,0.9993165135383606,26.0,22.0,0.0026481517124921083,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,vocal-firefly-46
27,93743.0,,7809.185133934021,,,,1723899018.159062,,,0.9993552565574646,27.0,23.0,0.0025306895840913057,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,vocal-firefly-46
