,_step,train_loss,epoch,_runtime,_timestamp,interpolate_loss,trainer/global_step,extrapolate_teacher_forcing_acc,train_teacher_forcing_acc,interpolate_teacher_forcing_acc,extrapolate_loss,extrapolate_perplexity,interpolate_perplexity,loss_ignore_idx,abstractor_kwargs,output_spec,out_block_size,decoder_kwargs,encoder_kwargs,d_model,n_layers_dec,in_block_size,n_layers_enc,input_spec,out_dim,group,symbol_retrieval,symbol_retrieval_kwargs,name
0,0,0.882290244102478,0,323.94291138648987,1723889975.3889375,,3905,,0.7028809785842896,,,,,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,volcanic-fire-46
1,1,0.7457826137542725,1,642.1521687507629,1723890293.5981948,,7811,,0.7446489930152893,,,,,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,volcanic-fire-46
2,2,0.6842918992042542,2,960.1899840831757,1723890611.6360102,,11717,,0.7635279297828674,,,,,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,volcanic-fire-46
3,3,0.6399522423744202,3,1278.349898815155,1723890929.795925,,15623,,0.7763903141021729,,,,,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,volcanic-fire-46
4,4,,4,1655.6628665924072,1723891307.1088927,0.6908529996871948,19529,0.7535841464996338,,0.7535841464996338,0.6908529996871948,1.995606541633606,1.995606541633606,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,volcanic-fire-46
5,5,0.6031970977783203,4,1655.6646602153778,1723891307.1106863,,19529,,0.7874928712844849,,,,,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,volcanic-fire-46
6,6,0.5714819431304932,5,1973.8825104236603,1723891625.3285365,,23435,,0.7973959445953369,,,,,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,volcanic-fire-46
7,7,0.5403363108634949,6,2292.089965581894,1723891943.5359917,,27341,,0.8071503043174744,,,,,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,volcanic-fire-46
8,8,0.5102748870849609,7,2610.1408751010895,1723892261.5869012,,31247,,0.816303014755249,,,,,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,volcanic-fire-46
9,9,0.48524871468544006,8,2928.320478439331,1723892579.7665045,,35153,,0.823837161064148,,,,,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,volcanic-fire-46
10,10,,9,3305.603505373001,1723892957.0495315,0.5478759407997131,39059,0.7965794801712036,,0.7965794801712036,0.5478759407997131,1.7297295331954956,1.7297295331954956,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,volcanic-fire-46
11,11,0.4648160934448242,9,3305.605264902115,1723892957.051291,,39059,,0.8299487233161926,,,,,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,volcanic-fire-46
12,12,0.4487416446208954,10,3623.681421279907,1723893275.1274474,,42965,,0.8348689675331116,,,,,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,volcanic-fire-46
13,13,0.43476957082748413,11,3941.8360574245453,1723893593.2820835,,46871,,0.8393298983573914,,,,,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,volcanic-fire-46
14,14,0.42264795303344727,12,4259.975665092468,1723893911.4216912,,50777,,0.843229353427887,,,,,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,volcanic-fire-46
15,15,0.411883145570755,13,4578.288773536682,1723894229.7347996,,54683,,0.8466582298278809,,,,,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,volcanic-fire-46
16,16,,14,4955.599627971649,1723894607.045654,0.4987325966358185,58589,0.8116633296012878,,0.8116633296012878,0.4987325966358185,1.6467798948287964,1.6467798948287964,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,volcanic-fire-46
17,17,0.40217533707618713,14,4955.601417064667,1723894607.0474432,,58589,,0.8498432040214539,,,,,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,volcanic-fire-46
18,18,0.3933849334716797,15,5274.2512221336365,1723894925.6972482,,62495,,0.8527296781539917,,,,,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,volcanic-fire-46
19,19,0.3848787248134613,16,5592.971728801727,1723895244.417755,,66401,,0.855451762676239,,,,,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,volcanic-fire-46
20,20,0.3766542971134186,17,5911.603487730026,1723895563.0495138,,70307,,0.8581876754760742,,,,,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,volcanic-fire-46
21,21,0.36835962533950806,18,6230.279582500458,1723895881.7256086,,74213,,0.8610866069793701,,,,,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,volcanic-fire-46
22,22,,19,6608.285009145737,1723896259.7310352,0.462368905544281,78119,0.8225470781326294,,0.8225470781326294,0.462368905544281,1.5879616737365723,1.5879616737365723,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,volcanic-fire-46
23,23,0.35969993472099304,19,6608.286806344986,1723896259.7328324,,78119,,0.8640223145484924,,,,,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,volcanic-fire-46
24,24,0.3513050675392151,20,6926.995966434479,1723896578.4419925,,82025,,0.8669240474700928,,,,,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,volcanic-fire-46
25,25,0.3435124456882477,21,7245.691630125046,1723896897.1376562,,85931,,0.8696644306182861,,,,,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,volcanic-fire-46
26,26,0.3364593982696533,22,7564.246062278748,1723897215.6920884,,89837,,0.8722310066223145,,,,,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,volcanic-fire-46
27,27,0.3305225670337677,23,7882.532486200333,1723897533.9785123,,93743,,0.8744325041770935,,,,,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,volcanic-fire-46
28,28,,24,8260.129068374634,1723897911.5750945,0.43218934535980225,97649,0.8338637948036194,,0.8338637948036194,0.43218934535980225,1.540749192237854,1.540749192237854,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,volcanic-fire-46
29,29,0.32452866435050964,24,8260.130957365036,1723897911.5769835,,97649,,0.8765842318534851,,,,,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,volcanic-fire-46
30,30,0.3188548684120178,25,8578.45608329773,1723898229.9021094,,101555,,0.8787738084793091,,,,,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,volcanic-fire-46
31,31,0.3139787018299103,26,8897.02834558487,1723898548.4743717,,105461,,0.8805367946624756,,,,,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,volcanic-fire-46
32,32,0.3087068498134613,27,9215.391102313995,1723898866.8371284,,109367,,0.8824110627174377,,,,,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,volcanic-fire-46
33,33,0.3040919303894043,28,9533.604316711426,1723899185.0503428,,113273,,0.8841776251792908,,,,,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,volcanic-fire-46
34,34,,29,9911.184065580368,1723899562.6300917,0.40270185470581055,117179,0.8452783226966858,,0.8452783226966858,0.40270185470581055,1.495980978012085,1.495980978012085,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,volcanic-fire-46
35,35,0.29938921332359314,29,9911.185860157013,1723899562.6318862,,117179,,0.8858690857887268,,,,,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,volcanic-fire-46
36,36,0.29491204023361206,30,10229.49295759201,1723899880.9389837,,121085,,0.8876926898956299,,,,,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,volcanic-fire-46
37,37,0.29095447063446045,31,10547.399807929993,1723900198.845834,,124991,,0.8892313838005066,,,,,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,volcanic-fire-46
38,38,0.2865685224533081,32,10865.30137848854,1723900516.7474046,,128897,,0.8909950852394104,,,,,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,volcanic-fire-46
