name,test/acc_hexos,_runtime,test/loss_hexos,_timestamp,_step,_wandb,test/loss_in_distribution,test/acc_stripes,test/loss_stripes,test/acc_in_distribution,d_model,image_shape,n_layers,rca_kwargs,n_heads,task,bias,norm_first,dff,activation,n_heads_sa,num_params,pool,symbol_retrieval_kwargs,patch_size,num_classes,val_size,n_heads_rca,rca_type,dropout_rate,train_size,symbol_retrieval,group,model_name
1task_match_patt__sa=8; d=144; L=2_train_size=25000__2024_08_02_20_25_47,0.5648499727249146,71.33210825920105,1.3770521879196167,1722644818.7549932,0.0,{'runtime': 70},1.1633238792419434,0.5496000051498413,1.6161253452301023,0.6136999726295471,144,"[3, 36, 36]",2,,8.0,1task_match_patt,False,True,288,swiglu,,481250,mean,,"[12, 12]",2,5000,,,0.1,25000,,1task_match_patt__sa=8; d=144; L=2,sa=8; d=144; L=2
1task_match_patt__sa=4; d=144; L=2_train_size=25000__2024_08_02_20_25_47,0.6710000038146973,70.68695116043091,0.964055836200714,1722644818.5922682,0.0,{'runtime': 69},0.791746973991394,0.6071500182151794,1.116907835006714,0.7170000076293945,144,"[3, 36, 36]",2,,4.0,1task_match_patt,False,True,288,swiglu,,481250,mean,,"[12, 12]",2,5000,,,0.1,25000,,1task_match_patt__sa=4; d=144; L=2,sa=4; d=144; L=2
1task_match_patt__sa=2; d=144; L=2_train_size=25000__2024_08_02_20_25_36,0.5316500067710876,68.54224491119385,1.1356111764907837,1722644805.183337,0.0,{'runtime': 67},1.0099329948425293,0.5238000154495239,1.2118375301361084,0.58160001039505,144,"[3, 36, 36]",2,,2.0,1task_match_patt,False,True,288,swiglu,,481250,mean,,"[12, 12]",2,5000,,,0.1,25000,,1task_match_patt__sa=2; d=144; L=2,sa=2; d=144; L=2
1task_match_patt__sa=8; d=144; L=2_train_size=25000__2024_08_02_20_25_34,0.5879499912261963,70.7696762084961,1.2757562398910522,1722644805.1905491,0.0,{'runtime': 69},1.089461326599121,0.5753499865531921,1.410841464996338,0.6317999958992004,144,"[3, 36, 36]",2,,8.0,1task_match_patt,False,True,288,swiglu,,481250,mean,,"[12, 12]",2,5000,,,0.1,25000,,1task_match_patt__sa=8; d=144; L=2,sa=8; d=144; L=2
1task_match_patt__sa=4; d=144; L=2_train_size=25000__2024_08_02_20_25_31,0.5308499932289124,73.83541107177734,1.2537736892700195,1722644805.4966002,0.0,{'runtime': 72},1.1176507472991943,0.5217000246047974,1.5824754238128662,0.5767999887466431,144,"[3, 36, 36]",2,,4.0,1task_match_patt,False,True,288,swiglu,,481250,mean,,"[12, 12]",2,5000,,,0.1,25000,,1task_match_patt__sa=4; d=144; L=2,sa=4; d=144; L=2
1task_match_patt__sa=2; d=144; L=2_train_size=25000__2024_08_02_20_25_05,0.5123500227928162,58.3550488948822,1.2814077138900757,1722644763.4579208,0.0,{'runtime': 57},1.159375548362732,0.5199000239372253,1.3075236082077026,0.5541999936103821,144,"[3, 36, 36]",2,,2.0,1task_match_patt,False,True,288,swiglu,,481250,mean,,"[12, 12]",2,5000,,,0.1,25000,,1task_match_patt__sa=2; d=144; L=2,sa=2; d=144; L=2
1task_match_patt__sa=4; d=144; L=2_train_size=25000__2024_08_02_20_24_49,0.5667999982833862,55.195292234420776,1.1610095500946045,1722644745.2088392,0.0,{'runtime': 54},1.0230798721313477,0.5604000091552734,1.2861037254333496,0.6057000160217285,144,"[3, 36, 36]",2,,4.0,1task_match_patt,False,True,288,swiglu,,481250,mean,,"[12, 12]",2,5000,,,0.1,25000,,1task_match_patt__sa=4; d=144; L=2,sa=4; d=144; L=2
1task_match_patt__sa=8; d=144; L=2_train_size=25000__2024_08_02_20_24_50,0.5713499784469604,49.016029596328735,1.364103078842163,1722644739.4590645,0.0,{'runtime': 47},1.1913448572158811,0.5612499713897705,1.5445739030838013,0.6082000136375427,144,"[3, 36, 36]",2,,8.0,1task_match_patt,False,True,288,swiglu,,481250,mean,,"[12, 12]",2,5000,,,0.1,25000,,1task_match_patt__sa=8; d=144; L=2,sa=8; d=144; L=2
1task_match_patt__sa=4; d=144; L=2_train_size=25000__2024_08_02_20_24_49,0.54544997215271,49.34390377998352,1.3818305730819702,1722644739.045632,0.0,{'runtime': 48},1.1539686918258667,0.5212500095367432,1.5738294124603271,0.5938000082969666,144,"[3, 36, 36]",2,,4.0,1task_match_patt,False,True,288,swiglu,,481250,mean,,"[12, 12]",2,5000,,,0.1,25000,,1task_match_patt__sa=4; d=144; L=2,sa=4; d=144; L=2
1task_match_patt__sa=2; d=144; L=2_train_size=25000__2024_08_02_20_24_48,0.5116999745368958,56.298312187194824,1.1691443920135498,1722644744.752803,0.0,{'runtime': 55},1.0260162353515625,0.5055999755859375,1.0514652729034424,0.5533999800682068,144,"[3, 36, 36]",2,,2.0,1task_match_patt,False,True,288,swiglu,,481250,mean,,"[12, 12]",2,5000,,,0.1,25000,,1task_match_patt__sa=2; d=144; L=2,sa=2; d=144; L=2
