name,test/acc_hexos,_runtime,test/loss_hexos,_timestamp,test/loss_in_distribution,_wandb,_step,test/acc_stripes,test/loss_stripes,test/acc_in_distribution,sa_kwargs,d_model,image_shape,ra_type,n_layers,task,bias,norm_first,dff,activation,n_heads_sa,num_params,pool,symbol_retrieval_kwargs,patch_size,num_classes,val_size,ra_kwargs,dropout_rate,baseline_model,train_size,model_config,symbol_retrieval,group,n_heads_ra,model_name
xoccurs__abstractor_train_size=1750__2024_08_05_01_01_38,,,,,,,,,,,,,,,,xoccurs,,,,,,469986,,,,,5000,,,abstractor,1750,"{'d_model': 128, 'patch_size': [12, 12], 'image_shape': [3, 36, 36], 'num_classes': 2, 'abstractor_kwargs': {'dff': 256, 'max_len': 9, 'n_heads': 4, 'n_layers': 2, 'activation': 'relu', 'norm_first': True, 'dropout_rate': 0, 'use_self_attn': True, 'symbol_retriever_type': 'positional', 'symbol_retriever_kwargs': {'max_length': 9, 'symbol_dim': 128}, 'symbol_add_pos_embedding': False}}",,xoccurs__abstractor,,abstractor
1task_between__abstractor_train_size=500__2024_08_05_01_01_36,,,,,,,,,,,,,,,,1task_between,,,,,,469986,,,,,5000,,,abstractor,500,"{'d_model': 128, 'patch_size': [12, 12], 'image_shape': [3, 36, 36], 'num_classes': 2, 'abstractor_kwargs': {'dff': 256, 'max_len': 9, 'n_heads': 4, 'n_layers': 2, 'activation': 'relu', 'norm_first': True, 'dropout_rate': 0, 'use_self_attn': True, 'symbol_retriever_type': 'positional', 'symbol_retriever_kwargs': {'max_length': 9, 'symbol_dim': 128}, 'symbol_add_pos_embedding': False}}",,1task_between__abstractor,,abstractor
1task_match_patt__predinet_train_size=5000__2024_08_05_01_01_27,,,,,,,,,,,,,,,,1task_match_patt,,,,,,376690,,,,,5000,,,predinet,5000,"{'d_model': 128, 'n_heads': 16, 'n_classes': 2, 'patch_size': [12, 12], 'image_shape': [3, 36, 36], 'n_relations': 8}",,1task_match_patt__predinet,,predinet
1task_between__corelnet_train_size=1000__2024_08_05_01_01_13,,,,,,,,,,,,,,,,1task_between,,,,,,215522,,,,,5000,,,corelnet,1000,"{'d_model': 128, 'patch_size': [12, 12], 'image_shape': [3, 36, 36], 'num_classes': 2}",,1task_between__corelnet,,corelnet
1task_between__predinet_train_size=2500__2024_08_05_01_00_53,0.8921200037002563,20.218435287475582,0.4012878239154816,1722834073.9568062,0.3106730580329895,{'runtime': 19},0.0,0.8718400001525879,0.5755892395973206,0.9117000102996826,,,,,,1task_between,,,,,,376690,,,,,5000,,,predinet,2500,"{'d_model': 128, 'n_heads': 16, 'n_classes': 2, 'patch_size': [12, 12], 'image_shape': [3, 36, 36], 'n_relations': 8}",,1task_between__predinet,,predinet
xoccurs__abstractor_train_size=1500__2024_08_05_01_00_49,0.6121000051498413,45.9025444984436,2.520570993423462,1722834095.4639704,2.328563928604126,{'runtime': 44},0.0,0.6116999983787537,3.3813037872314453,0.6255000233650208,,,,,,xoccurs,,,,,,469986,,,,,5000,,,abstractor,1500,"{'d_model': 128, 'patch_size': [12, 12], 'image_shape': [3, 36, 36], 'num_classes': 2, 'abstractor_kwargs': {'dff': 256, 'max_len': 9, 'n_heads': 4, 'n_layers': 2, 'activation': 'relu', 'norm_first': True, 'dropout_rate': 0, 'use_self_attn': True, 'symbol_retriever_type': 'positional', 'symbol_retriever_kwargs': {'max_length': 9, 'symbol_dim': 128}, 'symbol_add_pos_embedding': False}}",,xoccurs__abstractor,,abstractor
1task_between__abstractor_train_size=250__2024_08_05_01_00_40,0.5740600228309631,49.53986310958862,4.189776420593262,1722834091.2001882,4.134300708770752,{'runtime': 49},0.0,0.5657200217247009,5.1379008293151855,0.5781000256538391,,,,,,1task_between,,,,,,469986,,,,,5000,,,abstractor,250,"{'d_model': 128, 'patch_size': [12, 12], 'image_shape': [3, 36, 36], 'num_classes': 2, 'abstractor_kwargs': {'dff': 256, 'max_len': 9, 'n_heads': 4, 'n_layers': 2, 'activation': 'relu', 'norm_first': True, 'dropout_rate': 0, 'use_self_attn': True, 'symbol_retriever_type': 'positional', 'symbol_retriever_kwargs': {'max_length': 9, 'symbol_dim': 128}, 'symbol_add_pos_embedding': False}}",,1task_between__abstractor,,abstractor
1task_between__corelnet_train_size=750__2024_08_05_01_00_38,0.8938599824905396,29.90782141685486,1.043292999267578,1722834068.3289213,0.9426088929176332,{'runtime': 28},0.0,0.9174799919128418,0.8122653365135193,0.9031000137329102,,,,,,1task_between,,,,,,215522,,,,,5000,,,corelnet,750,"{'d_model': 128, 'patch_size': [12, 12], 'image_shape': [3, 36, 36], 'num_classes': 2}",,1task_between__corelnet,,corelnet
1task_between__predinet_train_size=2250__2024_08_05_01_00_29,0.946280002593994,20.173468589782715,0.15820619463920593,1722834050.1150217,0.1806093156337738,{'runtime': 18},0.0,0.926859974861145,0.2552204430103302,0.9448000192642212,,,,,,1task_between,,,,,,376690,,,,,5000,,,predinet,2250,"{'d_model': 128, 'n_heads': 16, 'n_classes': 2, 'patch_size': [12, 12], 'image_shape': [3, 36, 36], 'n_relations': 8}",,1task_between__predinet,,predinet
1task_between__predinet_train_size=2000__2024_08_05_01_00_06,0.8499600291252136,19.694076538085938,0.6224923729896545,1722834025.9343104,0.5285293459892273,{'runtime': 18},0.0,0.761139988899231,1.314694881439209,0.8726000189781189,,,,,,1task_between,,,,,,376690,,,,,5000,,,predinet,2000,"{'d_model': 128, 'n_heads': 16, 'n_classes': 2, 'patch_size': [12, 12], 'image_shape': [3, 36, 36], 'n_relations': 8}",,1task_between__predinet,,predinet
